[
 [None, None, None, (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), None, None, None, ]
 [None, (89,89,89), (89,89,89), (89,89,89), (89,89,89), (102,102,102), (102,102,102), (102,102,102), (102,102,102), (89,89,89), (89,89,89), (89,89,89), (89,89,89), None, ]
 [(0,0,0), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (64,64,64), (64,64,64), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (0,0,0), ]
 [(89,89,89), (89,89,89), (119,179,254), (73,231,255), (73,231,255), (0,169,202), (0,169,202), (119,179,254), (119,179,254), (0,169,202), (73,231,255), (73,231,255), (89,89,89), (89,89,89), ]
 [(89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (64,64,64), (64,64,64), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), ]
 [(89,89,89), (89,89,89), (102,102,102), (102,102,102), (89,89,89), (102,102,102), (64,64,64), (64,64,64), (102,102,102), (89,89,89), (102,102,102), (102,102,102), (89,89,89), (89,89,89), ]
 [(89,89,89), (89,89,89), (102,102,102), (89,89,89), (102,102,102), (89,89,89), (102,102,102), (102,102,102), (89,89,89), (102,102,102), (89,89,89), (102,102,102), (89,89,89), (89,89,89), ]
 [(89,89,89), (89,89,89), (102,102,102), (89,89,89), (102,102,102), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (102,102,102), (89,89,89), (102,102,102), (89,89,89), (89,89,89), ]
 [(89,89,89), (89,89,89), (102,102,102), (102,102,102), (89,89,89), (102,102,102), (89,89,89), (89,89,89), (102,102,102), (89,89,89), (89,89,89), (102,102,102), (89,89,89), (89,89,89), ]
 [(89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), (89,89,89), ]
 [(89,89,89), (89,89,89), None, None, None, None, None, None, None, None, None, None, (89,89,89), (89,89,89), ]
]
