[
 [None, None, None, None, None, (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, None, None, None, None, ]
 [None, None, None, (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, None, None, ]
 [None, None, (143,255,224), (143,255,224), (143,255,224), (169,0,0), (169,0,0), (169,0,0), (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, None, ]
 [None, (143,255,224), (143,255,224), (143,255,224), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (169,0,0), (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, ]
 [None, (143,255,224), (169,0,0), (169,0,0), (169,0,0), (169,0,0), (208,0,0), (208,0,0), (169,0,0), (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, ]
 [(143,255,224), (143,255,224), (169,0,0), (208,0,0), (208,0,0), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (169,0,0), (169,0,0), (169,0,0), (169,0,0), (143,255,224), ]
 [(143,255,224), (143,255,224), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (169,0,0), (208,0,0), (208,0,0), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (143,255,224), ]
 [(143,255,224), (143,255,224), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (169,0,0), (208,0,0), (208,0,0), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (143,255,224), ]
 [(143,255,224), (143,255,224), (169,0,0), (208,0,0), (208,0,0), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (143,255,224), ]
 [None, (143,255,224), (169,0,0), (208,0,0), (208,0,0), (169,0,0), (208,0,0), (208,0,0), (208,0,0), (169,0,0), (169,0,0), (169,0,0), (169,0,0), (143,255,224), ]
 [None, (143,255,224), (143,255,224), (169,0,0), (169,0,0), (169,0,0), (169,0,0), (169,0,0), (169,0,0), (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, ]
 [None, None, (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, None, ]
 [None, None, None, (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, None, None, ]
 [None, None, None, None, None, (143,255,224), (143,255,224), (143,255,224), (143,255,224), None, None, None, None, None, ]
]
