[
 [None, None, None, None, None, None, None, None, None, None, None, ]
 [None, None, None, None, None, (95,62,29), (95,62,29), None, None, None, None, ]
 [None, None, None, None, (95,62,29), (95,62,29), (95,62,29), (95,62,29), None, None, None, ]
 [None, None, None, None, (95,62,29), (95,62,29), (95,62,29), (95,62,29), None, None, None, ]
 [None, None, None, (59,35,0), (59,35,0), (95,62,29), (95,62,29), (59,35,0), None, None, None, ]
 [None, None, None, (95,62,29), (95,62,29), (59,35,0), (59,35,0), (95,62,29), (95,62,29), None, None, ]
 [None, None, (59,35,0), (95,62,29), (95,62,29), (95,62,29), (95,62,29), (95,62,29), (95,62,29), (59,35,0), None, ]
 [None, (59,35,0), (95,62,29), (59,35,0), (59,35,0), (59,35,0), (95,62,29), (59,35,0), (59,35,0), (59,35,0), None, ]
 [(59,35,0), (59,35,0), (95,62,29), (95,62,29), (95,62,29), (59,35,0), (59,35,0), (95,62,29), (59,35,0), (59,35,0), (59,35,0), ]
 [None, (59,35,0), (59,35,0), (59,35,0), (95,62,29), (95,62,29), (95,62,29), (59,35,0), (59,35,0), (59,35,0), (59,35,0), ]
 [None, None, None, None, (59,35,0), (59,35,0), (59,35,0), (59,35,0), (59,35,0), None, None, ]
]
