[
 [None, None, None, (76,76,76), None, None, None, None, ]
 [None, None, None, (76,76,76), (163,81,0), None, None, None, ]
 [None, None, None, (76,76,76), (163,81,0), None, None, None, ]
 [None, None, (163,81,0), (76,76,76), (163,81,0), (76,76,76), None, None, ]
 [None, None, (163,81,0), (76,76,76), (76,76,76), (76,76,76), None, None, ]
 [None, (163,81,0), (163,81,0), (163,81,0), (76,76,76), (163,81,0), None, None, ]
 [None, (163,81,0), (76,76,76), (76,76,76), (76,76,76), (163,81,0), (163,81,0), None, ]
 [None, (163,81,0), (76,76,76), (76,76,76), (163,81,0), (76,76,76), (76,76,76), None, ]
 [(163,81,0), (76,76,76), (163,81,0), (76,76,76), (76,76,76), (76,76,76), (76,76,76), None, ]
 [(163,81,0), (76,76,76), (163,81,0), (76,76,76), (76,76,76), (163,81,0), (163,81,0), (76,76,76), ]
 [(163,81,0), (76,76,76), (76,76,76), (163,81,0), (76,76,76), (163,81,0), (76,76,76), (76,76,76), ]
 [(163,81,0), (76,76,76), (163,81,0), (76,76,76), (76,76,76), (76,76,76), (76,76,76), (76,76,76), ]
 [(163,81,0), (76,76,76), (76,76,76), (76,76,76), (76,76,76), (76,76,76), (163,81,0), (163,81,0), ]
 [None, (163,81,0), (76,76,76), (76,76,76), (163,81,0), (163,81,0), (163,81,0), None, ]
 [None, None, (163,81,0), (163,81,0), (163,81,0), (163,81,0), None, None, ]
]
